name,female,kafri,meretz,minority
"אבי דבוש",false,true,false,false
"אבישי ליכטנשטיין",false,false,false,false
"אביתר באר",false,true,false,false
"אוליביה עמנואל דה לם",false,false,false,false
"אחסאן חלאילה",false,false,false,true
"איהאב שליאן",false,false,false,true
"איתי לשם",false,false,false,false
"אלוף במיל. נמרוד שפר",false,false,false,false
"אליס גולדמן",true,false,false,false
"אמילי מואטי",true,false,false,false
"אמיר ח'ניפס",false,false,false,true
"אפרת רייטן",true,false,false,false
"בנימין דניאל מיניץ",false,false,false,false
"גאלב סלאמנה",false,false,false,true
"גבי לסקי",true,false,true,false
"גיל ביילין",false,false,false,false
"גלעד קריב",false,false,false,false
"דימה שפירא",false,false,true,false
"דני אלגרט",false,false,false,false
"הדס רגולסקי",true,false,false,false
"חן אריאלי",true,false,false,false
"יאיא פינק",false,false,false,false
"יאיר רובינשטיין",false,false,false,false
"יואב אגמי",false,false,false,false
"יעל כהן פארן",true,false,false,false
"ירון ניב",false,false,false,false
"יריב אופנהיימר",false,false,true,false
"לי הופמן אגיב",true,false,false,false
"מאלכ בדר",false,false,false,true
"מהרטה ברוך רון",true,false,false,false
"מוסי רז",false,false,false,false
"מורן זר קצנשטיין",true,false,false,false
"מורן מישל",true,false,false,false
"מיכל רוזין",true,false,true,false
"משה רדמן",false,false,false,false
"נאווה רוזוליו",true,false,false,false
"נאור נרקיס",false,false,true,false
"נדאל מסאלחה",false,false,false,true
"נעמה לזימי",true,false,false,false
"סומיה בשיר",true,false,false,true
"עאיד בדיר",false,false,true,true
"עלי סלאלחה",false,false,true,true
"עמרי רונן",false,false,false,false
"ענבל וורטמן שהם",true,true,false,false
"ענבר בזק",true,false,false,false
"ערן ניסן",false,false,false,false
"ערן עציון",false,true,false,false
"קטי פיאסצקי",true,false,false,false
"רם שפע",false,true,false,false
"רתם סיון",true,true,false,false
"תומר אביטל",false,false,false,false
