name,female
"אבי דבוש",false
"אבישי ליכטנשטיין",false
"אביתר באר",false
"אוליביה עמנואל דה לם",false
"אחסאן חלאילה",false
"איהאב שליאן",false
"איתי לשם",false
"אלוף במיל. נמרוד שפר",false
"אליס גולדמן",true
"אמילי מואטי",true
"אמיר ח'ניפס",false
"אפרת רייטן",true
"בנימין דניאל מיניץ",false
"גאלב סלאמנה",false
"גבי לסקי",true
"גיל ביילין",false
"גלעד קריב",false
"דימה שפירא",false
"דני אלגרט",false
"הדס רגולסקי",true
"חן אריאלי",true
"יאיא פינק",false
"יאיר רובינשטיין",false
"יואב אגמי",false
"יעל כהן פארן",true
"ירון ניב",false
"יריב אופנהיימר",false
"לי הופמן אגיב",true
"מאלכ בדר",false
"מהרטה ברוך רון",true
"מוסי רז",false
"מורן זר קצנשטיין",true
"מורן מישל",true
"מיכל רוזין",true
"משה רדמן",false
"נאווה רוזוליו",true
"נאור נרקיס",false
"נדאל מסאלחה",false
"נעמה לזימי",true
"סומיה בשיר",true
"עאיד בדיר",false
"עלי סלאלחה",false
"עמרי רונן",false
"ענבל וורטמן שהם",true
"ענבר בזק",true
"ערן ניסן",false
"ערן עציון",false
"קטי פיאסצקי",true
"רם שפע",false
"רתם סיון",true
"תומר אביטל",false
